CIENCIAS AGROPECUARIAS |  |  | 
 |  | ING.  EN PRODUCCIÓN Y COMERCIALIZACIÓN HORTÍCOLA                                                                                            | 
 |  | ING.  HORTÍCOLA                                                                                                                                | 
 | INGENERÍA AGROINDUSTRIAL |  | 
 |  | ING.  AGROINDUSTRIAL                                                                                                                         | 
 |  | ING.  EN AGROINDUSTRIA                                                                                                                        | 
 |  | TSU. EN PROCESOS AGROINDUSTRIALES                                                                                                          | 
 | INGENERÍA AGRONÓMICA |  | 
 |  | TSU. EN PROCESOS AGROINDUSTRIALES                                                                                                          | 
 | QUÍMICA AGROPECUARIA |  | 
 |  | ING.  AGROQUÍMICO                                                                                                                             | 
 |  | QUÍMICO AGRÍCOLA                                                                                                                            | 
 | VETERINARIA Y ZOOTECNIA |  | 
 |  | ING.  EN PRODUCCIÓN ANIMAL                                                                                                                    | 
 |  | ING.  ZOOTECNISTA                                                                                                                              | 
 |  | ING.  ZOOTECNISTA ADMINISTRADOR                                                                                                              | 
 |  | ING.  ZOOTECNISTA EN SISTEMAS DE PRODUCCIÓN                                                                                                 | 
 |  | LIC.  EN MEDICINA VETERINARIA Y ZOOTECNIA                                                                                                      | 
 |  | LIC.  EN PRODUCCIÓN ANIMAL                                                                                                                   | 
 |  | LIC.  EN ZOOTECNIA                                                                                                                              | 
 |  | MÉDICO VETERINARIO                                                                                                                           | 
 |  | MÉDICO VETERINARIO ADMINISTRADOR                                                                                                          | 
 |  | MÉDICO VETERINARIO Y ZOOTECNISTA                                                                                                            | 
 |  | MÉDICO VETERINARIO ZOOTECNISTA                                                                                                          | 
 |  | PA. EN PRODUCCIÓN ANIMAL                                                                                                                     | 
 |  | TSU. EN APICULTURA                                                                                                                             | 
 |  | TSU. EN LOMBRICULTURA                                                                                                                        | 
 |  | TSU. EN PRODUCCIÓN ANIMAL                                                                                                                   | 
 |  |  | 
CIENCIAS DE LA SALUD |  |  | 
 | CIENCIAS BIOMÉDICAS |  | 
 |  | LIC.  EN BÍOMEDICINA                                                                                                                           | 
 |  | LIC.  EN INVESTIGACIÓN BIOMÉDICA BÁSICA                                                                                                       | 
 | ENFERMERÍA Y OBSTETRICIA |  | 
 |  | ENFERMERA GENERAL                                                                                                                           | 
 |  | ENFERMERO                                                                                                                                   | 
 |  | LIC.  EN CIENCIAS DE LA ENFERMERÍA                                                                                                             | 
 |  | LIC.  EN ENFERMERÍA                                                                                                                      | 
 |  | LIC.  EN ENFERMERÍA GENERAL                                                                                                                   | 
 |  | LIC.  EN ENFERMERÍA PARA PERSONAL EN SERVICIO                                                                                                | 
 |  | LIC.  EN ENFERMERÍA Y OBSTETRICIA                                                                                                             | 
 |  | PA. EN ENFERMERÍA                                                                                                                             | 
 |  | TÉC  EN ENFERMERÍA GENERAL                                                                                                                   | 
 |  | TSU. EN ENFERMERÍA                                                                                                                            | 
 | MEDICINA |  | 
 |  | LIC.  EN ACUPUNTURA MÉDICA Y REHABILITACIÓN INTEGRAL                                                                                         | 
 |  | LIC.  EN GERONTOLOGÍA                                                                                                                          | 
 |  | LIC.  EN HOMEOPA.TÍA                                                                                                                            | 
 |  | LIC.  EN MEDICINA                                                                                                                               | 
 |  | LIC.  EN MEDICINA GENERAL                                                                                                                     | 
 |  | LIC.  EN MEDICINA HOMEOPÁTICA                                                                                                                 | 
 |  | LIC.  EN MEDICINA NATUROTERAPIA                                                                                                               | 
 |  | LIC.  EN MÉDICO CIRUJANO                                                                                                                       | 
 |  | LIC.  EN NATUROTERAPIA                                                                                                                         | 
 |  | MÉDICO                                                                                                                                      | 
 |  | MÉDICO CIRUJANO                                                                                                                          | 
 |  | MÉDICO CIRUJANO NAVAL                                                                                                                       | 
 |  | MÉDICO CIRUJANO PA.RTERO                                                                                                                    | 
 |  | MÉDICO CIRUJANO Y HOMEÓPA.TA                                                                                                                | 
 |  | MÉDICO CIRUJANO Y PA.RTERO                                                                                                                   | 
 |  | MÉDICO GENERAL                                                                                                                              | 
 |  | MÉDICO HOMEÓPA.TA CIRUJANO Y PA.RTERO                                                                                                       | 
 |  | PA. EN GERONTOLOGÍA                                                                                                                          | 
 |  | TSU. EN PARAMÉDICO                                                                                                                           | 
 | NUTRICIÓN |  | 
 |  | LIC.  EN CIENCIAS DE LA NUTRICIÓN                                                                                                               | 
